序号,求职者id,求职者姓名,预期岗位,求职类型,性别,年龄,期望工作地址,居住地址,可报到时间,工作经验,自我评价,期望企业,期望最低薪资,期望最高薪资,学历,专业,竞赛经历,项目经历,工作经历,技能水平,简历关键词,获得证书
48,1507237125567938560,焦先生,"[""数据分析师"",""数据挖掘工程师""]",2,0,1990-11-30 00:00:00.0,"[""广东省"",""广州市"",""黄埔区""]","[""广东省"",""广州市"",""黄埔区""]",,1年工作经验,tyyy,"[""互联网""]",4000,6000,[],[],,,,,,
49,1469173034668654592,徐先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",2,0,2000-02-08 00:00:00.0,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""广州市"",""天河区""]",时间待议,无经验,"工作方面：对大数据分析、挖掘以及深度学习有极大热情，具备一定的数据分析、挖掘能力；
社交方面：在校任职、兼职期间，做到尽职尽责，具有良好的沟通能力、团队合作能力 。
","[""互联网""]",8000,13000,['本科'],['统计学'],"第九届泰迪杯数据挖掘挑战赛_全国三等奖,第三届泰迪杯数据分析技能赛_二等奖,2021首届""点宽杯""全国高校金融科技黑客松大赛_二等奖",岩石样本智能识别,数据分析师,python_SKILLED,"数据分析挖掘,机器学习,深度学习,计算机视觉",
50,1461530285551255552,易女士,"[""数据分析师"",""数据挖掘工程师""]",2,1,1993-08-22 00:00:00.0,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""广州市"",""天河区""]",随时到岗,4年工作经验,热爱数学,"[""互联网""]",12000,15000,['本科'],['应用统计学'],,,产品经理,"R语言_COMMONLY,Python_COMMONLY","产品策划,在线教育",大数据分析工程师
51,1516604454231736320,凡女士,"[""数据分析师"",""数据挖掘工程师"",""其他""]",0,1,2022-04-19 00:00:00.0,"[""北京市"",""北京市"",""东城区""]","[""北京市"",""北京市"",""东城区""]",随时到岗,无经验,无人盯防VVVF长发短发,"[""不限""]",3000,4000,[],[],,,,,,
52,1511539161700630528,测先生,"[""数据分析师""]",2,0,2022-04-05 00:00:00.0,"[""北京市"",""北京市"",""东城区""]","[""北京市"",""北京市"",""东城区""]",随时到岗,无经验,1234,"[""金融"",""互联网""]",3000,6000,[],[],,,,,,
53,1484409030448381952,张先生,"[""数据挖掘工程师"",""自然语言处理工程师""]",1,0,1994-01-08 00:00:00.0,"[""天津市"",""天津市"",""和平区""]","[""天津市"",""天津市"",""和平区""]",时间待议,4年工作经验,热爱数学、计算机编程,"[""互联网"",""金融"",""电子商务""]",8000,9000,[],[],,,,,,
54,1506565365747023872,刘先生,"[""数据分析师""]",2,0,1999-06-07 00:00:00.0,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""广州市"",""天河区""]",随时到岗,无经验,本人有较强的学习能力，喜欢经常整理自己的学习资料，具有一定的工作抗压能力和良好的团队合作精神用心进取，一向严格要求自己；对新技术充满好奇、不断探索提高;在学校参加过校纪检，有较强的执行能力.组织能力，也曾在在疫情期间，在凯硕电脑(苏州)有限公司物料组担任过组长,"[""不限""]",4000,8000,['本科'],['数据科学与大数据技术'],,"去哪儿景点分析,广东省采购数据分析",,"python_GOOD,mysql_GOOD,Linux_COMMONLY,excel_GOOD,power bi_GOOD",喜欢整理,数据分析师
55,1476408366162116608,杨先生,"[""Hadoop大数据开发工程师""]",2,0,1997-12-05 00:00:00.0,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""潮州市"",""湘桥区""]",1周后到岗,无经验,"会java、python等编程语言
会MySQL",[],6000,9000,['本科'],['信息与计算科学'],,,,,"hadoop,数据库,spark",
56,1503958317985300480,丘女士,"[""数据分析师"",""机器学习工程师"",""数据挖掘工程师""]",1,1,2000-07-09 00:00:00.0,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""广州市"",""白云区""]",随时到岗,无经验,"本人积极向上，谨慎细心、条理性强；对工作认真负责，充分发挥自己的思维和学习能力。
大学四年时间，我对各类软件有比较系统的运用、对各种数据分析项目有足够的实操经历，热爱数据分析。
在校实践经历，培养了我良好的组织协调、沟通交流、团队协作以及创新能力。","[""互联网"",""电子商务"",""数据服务""]",4000,7000,['本科'],['统计学'],第九届泰迪杯数据挖掘挑战赛_成功参赛,"京东OPPO手机Reno6评论采集与分析,基于线性回归实现共享单车使用量预测,基于图像识别实现森林火灾检测",,"Python_SKILLED,MySQL_SKILLED",,
57,1503692152226578432,苏女士,"[""数据分析师"",""数据挖掘工程师"",""其他""]",2,1,2000-07-04 00:00:00.0,"[""广东省"",""广州市"",""越秀区""]","[""广东省"",""珠海市"",""金湾区""]",随时到岗,无经验,"热爱自己的专业，努力学习掌握专业技能，补全更多专业知识。在校期间认真学习大数据技术专业知识。积极参加专业证书考培训课程，对大数据分析方面有很大兴趣。有良好学习能力和沟通能力，有责任感和较强的团队意识，乐观豁达，抗压能力
强。
","[""互联网"",""计算机软件"",""数据服务""]",3000,4000,[],[],,,,,,
58,1503675724379324416,罗先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",1,0,1994-03-27 00:00:00.0,"[""广东省"",""广州市"",""天河区""]","[""福建省"",""厦门市"",""集美区""]",随时到岗,无经验,"1 做事认真细致，对数字有一定的敏感性，有较强的逻辑和快速学习能力，能承担挑战性的工作。
2 喜欢数据挖掘，坚持学习，不断进步
3 与人善处，富有团队协作精神","[""不限""]",8000,12000,"['本科', '硕士']","['统计学', '统计学']",第二届泰迪杯数据分析技能赛_二等奖,基于文本和多模态数据的风险识别,,python_SKILLED,,
59,1502923771693105152,万先生,"[""数据分析师"",""Hadoop大数据开发工程师""]",1,0,2000-05-05 00:00:00.0,"[""四川省"",""成都市"",""武侯区""]","[""重庆市"",""重庆市"",""沙坪坝区""]",时间待议,1年工作经验,数仓分层建设：Hive 与 ETL 有项目和工作经验 ；熟悉 Python 语言、Mysql 数据库，掌握 sql 技能 熟悉 Hadoop、Spark 等大数据技术 ；熟悉 Django 框架、Scrapy 爬虫框架，对 web 开发和数据采集有一定经验 熟悉 Linux 系统，掌握常用的 lin,"[""不限""]",7000,12000,[],[],,,,,,
60,1502226049910571008,胡女士,"[""数据分析师"",""数据挖掘工程师"",""图像处理工程师""]",1,1,1998-06-07 00:00:00.0,"[""广东省"",""深圳市"",""盐田区""]","[""陕西省"",""汉中市"",""汉台区""]",时间待议,无经验,"1.数学知识掌握的非常不错。
2.对Python，JAVA，c#都有所了解。
3.学习能力强且吃苦耐劳。
4.熟练使用matlab，lingo，Excel，PPT，MySQL等
5.熟练使用office，Excel等办公软件。
","[""计算机软件"",""互联网"",""信息安全""]",10000,15000,[],[],,,,"office_SKILLED,excel_SKILLED,python_SKILLED,SQL sever_SKILLED,Java_GOOD","软件,后端,数据处理",英语四级
61,1501939246758494208,蔡女士,"[""数据分析师""]",1,1,1999-05-05 00:00:00.0,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""潮州市"",""潮安区""]",2周后到岗,无经验,"主修课程为Python程序基础编程、excel数据分析、MySQL、数据挖掘：R语言实战等课程。
有英语六级证书","[""互联网"",""不限"",""电子商务""]",4000,8000,['本科'],['统计学'],第九届泰迪杯数据挖掘挑战赛_成功参与,"58同城二手轿车价格预测Python,excel销售数据分析",,"MS Excel_SKILLED,英语六级_SKILLED,MySQL数据库查询_GOOD",,
62,1470329852602220544,关女士,"[""数据分析师"",""数据挖掘工程师"",""自然语言处理工程师""]",2,1,1999-06-01 00:00:00.0,"[""广东省"",""深圳市"",""福田区""]","[""广东省"",""广州市"",""黄埔区""]",时间待议,无经验,本人是2022届毕业生，在校期间积极参加社会实践。本人好奇心和责任心比较强，实践工作期间，遇到问题会努力寻求解决方法，向别人请教学习以及反省自己。实习实训期间，积极学习大数据相关知识内容，和其他人团队合作完成水质识别，商品重复购买预测等任务。希望能进入贵公司发展，努力学习知识，提升自己。,"[""不限""]",6000,10000,['本科'],['数据科学与大数据技术'],,岩石样本岩性智能识别与分类,学科教师,游泳_MASTER,,"CET4,驾驶证,普通话水平等级,计算机二等级水平"
63,1501850256562847744,张女士,"[""数据分析师""]",2,1,2022-03-08 00:00:00.0,"[""北京市"",""北京市"",""东城区""]","[""北京市"",""北京市"",""东城区""]",1周后到岗,无经验,111,"[""不限""]",3000,4000,[],[],,,,,,
64,1500714639468658688,测女士,"[""数据挖掘工程师"",""算法工程师""]",2,1,2022-02-28 00:00:00.0,"[""广东省"",""广州市"",""荔湾区""]","[""广东省"",""广州市"",""天河区""]",随时到岗,无经验,技能,"[""互联网"",""数据服务""]",5000,7000,[],[],,,,,"数据分析,团队精神",
65,1498246507764252672,黄女士,"[""数据分析师"",""Hadoop大数据开发工程师"",""其他""]",1,1,2001-07-13 00:00:00.0,"[""广东省"",""广州市"",""白云区""]","[""广东省"",""广州市"",""白云区""]",随时到岗,无经验,本人大三大数据技术与应用在读，在校期间荣获国家励志奖学金2次，三等奖学金2次，学院专业排名1/99，担任学院学生会部长并掌握基本的专业知识与较强的团队意识，希望在大数据开发领域里，持续成长。,"[""不限""]",4000,6000,['大专'],['大数据技术与应用'],,"小米官网静态页面及京东静态页面,QQ空间微信朋友圈,电商系统",,,认真负责、上进心,大数据应用开发(Python)
66,1498147738557218816,张先生,"[""Hadoop大数据开发工程师""]",1,0,1996-09-22 00:00:00.0,"[""广东省"",""深圳市"",""罗湖区""]","[""北京市"",""北京市"",""昌平区""]",1个月后到岗,无经验,"网络工程专业，对大数据有一定的研究和实操；熟悉linux系统的shell编程；熟悉Hadoop、Hive、Spark、Flink框架；
担任过16年班长和学生会主席，拥有较强的团队领导能力
","[""互联网""]",8000,12000,['本科'],['网络工程'],,,,"hadoop_SKILLED,flink_SKILLED,spark_SKILLED",大数据开发,
67,1496340730497597440,李先生,"[""数据分析师"",""其他"",""机器学习工程师""]",2,0,2000-09-24 00:00:00.0,"[""湖南省"",""湘潭市"",""湘潭县""]","[""河南省"",""安阳市"",""安阳县""]",,无经验,"较好的计算机操作水平，喜爱钻研各类语言编程；
具有良好的学习能力，团队合作精神和独立处事能力，勇于开拓和创新；
诚实守信，人品优良，可长期踏实工作。
","[""互联网""]",6000,8000,['本科'],['数据科学与大数据技术'],,,,,,
68,1496330994284888064,头先生,"[""机器学习工程师""]",1,0,2022-02-22 00:00:00.0,"[""北京市"",""北京市"",""东城区""]","[""天津市"",""天津市"",""和平区""]",,4年工作经验,大大,"[""媒体""]",7000,10000,[],[],,,,,,
69,1471049670871613440,赖先生,"[""Hadoop大数据开发工程师"",""数据分析师""]",2,0,1998-11-20 00:00:00.0,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""广州市"",""天河区""]",随时到岗,无经验,"自我评估：
本人成绩优良、认真刻苦、灵活创新，积极参与社会实践和软件项目锻炼，抓住每一个机会锻炼自己，希望找一份与专业相关的工作，并且在实践中不断学习、进步。
工作技能：
了解关系型数据库产品（SQL）进行数据库编程以及Spark，Hive，Hadoop等大数据开发技术，思路清晰，善于学习和","[""数据服务""]",5000,7000,['本科'],['信息与计算科学'],,"广电大数据用户画像,日志实时可视化分析系统",助教,,"大数据开发,Hadoop,SQL,MySQL","C1驾照,大学英语四级,普通话二级乙等"
70,1468183620412899328,许女士,"[""Hadoop大数据开发工程师"",""数据分析师"",""其他""]",2,1,1999-10-16 00:00:00.0,"[""广东省"",""深圳市"",""南山区""]","[""广东省"",""深圳市"",""宝安区""]",随时到岗,无经验,"熟悉大数据开发技术，了解Hadoop、Hive、HBase、MySQL、Spark等大数据开发技术工具。
在校锻炼了自己的自学能力、分析问题和解决问题的能力、组织协调配合队员完成任务或项目的能力。
心态积极乐观，有很强的团队合作精神；自学能力较强，抗压能力强，敢于挑战难题，愿意尝试新的事物。","[""互联网"",""医疗健康"",""通信设备""]",6000,10000,['本科'],['信息与计算科学'],"韩山师范学院校合唱比赛_三等奖,数学与统计学院课前十分钟_优秀演讲者奖,大学生网络安全知识竞赛总决赛_二等奖,第九届“泰迪杯”数据挖掘挑战赛_省优胜奖,全国大学生数学建模竞赛_省二等奖","供应链经营数据分析,疫情数据实时采集与分析",,"Hadoop_GOOD,Hive_GOOD,Spark_GOOD,HBase_GOOD,Java_GOOD",,"国家信息安全水平技术（一级）证书,韩山师范学院2019学年度“三好学生”称号荣誉证书,全国计算机等级考试二级MSOffice合格证书,准驾车型为C1的机动车驾驶证"
71,1495664524416647168,施女士,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",1,1,2000-07-22 00:00:00.0,"[""广东省"",""广州市"",""黄埔区""]","[""广东省"",""汕头市"",""金平区""]",随时到岗,无经验,擅长运用python 等数据分析工具进行数据分析处理，挖掘特征潜在关联，并调用神经网络、决策树等回归分类模型 高效解决问题。 具备较好的学习能力和沟通协调能力，有效理解分析需求。,"[""不限""]",8000,10000,['本科'],['统计学'],,"基于数据挖掘的上市公司高送转预测,O2O优惠券使用预测",,"python_SKILLED,MS Excel_SKILLED",数据分析,
72,1468149322909614080,戴先生,"[""其他""]",1,0,1999-04-19 00:00:00.0,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""广州市"",""天河区""]",时间待议,无经验,"在校参加过小学义教，担任三年班干部宿管委员，在校参加校级爱心协会，多次参加绿色回收，手工品义卖等爱心活动，写过策划书。在大学四年宿舍长，宿舍多次获得“优胜宿舍”和“文明宿舍”以及“文明舍长”。
本人做事认真细心，乐观开朗，工作积极主动，有强烈的的责任心和团队精神，乐于助人等，活泼爱动。","[""不限""]",7000,8000,['本科'],['信息与计算科学'],"全国大学生网络安全知识竞赛（团队赛）_二等奖,全国大学生网络安全知识竞赛（个人赛）_三等奖",,,C1驾照_GOOD,"富有爱心,有空时喜欢画画","国家信息安全水平证书（一级）,普通话水平测试等级证书"
